"Reference","Value","Datasheet","Footprint","Qty","DNP"
"D1,D2,D3,D8","1N4148","~","Diode_THT:D_DO-15_P2.54mm_Vertical_KathodeUp","4",""
"D4,D5,D6,D7","MA10EB045","~","Diode_SMD:Vishay_SMPA","4",""
"D9,D10,D11,D12,D13,D14","LED","~","LED_THT:LED_D3.0mm","6",""
"F1","Fuse","~","MyFoot:FUC-03A","1",""
"J1,J2,J4","XT60","~","-- ミックスされた値 --","3",""
"J3","HRS_DF1E_3Pin_L","~","MyFoot:DF1E-3P-2.5DS","1",""
"J5","HRS_DF1EC_2Pin","~","MyFoot:DF1EC-2P-2.5DSA","1",""
"J6","Screw_Terminal_01x02","~","MyFoot:TB111-2-2-U-1-1","1",""
"J7","Screw_Terminal_01x03","~","MyFoot:TB111-2-3-U-1-1","1",""
"K1,K3","942H-2C-24DS","https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf","Relay_THT:Relay_DPDT_Omron_G2RL-2","2",""
"K2,K4","G2R-1-E DC24","G2R-1-E DC24","MyFoot:RELAY_G2R-1-E AC12_OMR","2",""
"Q1,Q2","2SC1815","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf","Package_TO_SOT_THT:TO-92_Inline","2",""
"R1,R4","3.3k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2",""
"R2,R5","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2",""
"R3,R6,R7,R8,R9,R10,R11,R12","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","8",""
"SW1,SW2","SW_Push","~","Button_Switch_THT:SW_PUSH-12mm","2",""
"U1,U2","TLP785","https://toshiba.semicon-storage.com/info/docget.jsp?did=10569&prodName=TLP785","Package_DIP:DIP-4_W7.62mm","2",""
